__time,/LF/joint_trajectory_controller/joint_trajectory/header/stamp/nanosec,/LF/joint_trajectory_controller/joint_trajectory/header/stamp/sec,/LF/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/nanosec,/LF/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/sec,/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[0],/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[1],/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[2],/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[3],/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[4],/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[5],/LF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[6],/LH/joint_trajectory_controller/joint_trajectory/header/stamp/nanosec,/LH/joint_trajectory_controller/joint_trajectory/header/stamp/sec,/LH/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/nanosec,/LH/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/sec,/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[0],/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[1],/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[2],/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[3],/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[4],/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[5],/LH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[6],/RF/joint_trajectory_controller/joint_trajectory/header/stamp/nanosec,/RF/joint_trajectory_controller/joint_trajectory/header/stamp/sec,/RF/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/nanosec,/RF/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/sec,/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[0],/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[1],/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[2],/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[3],/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[4],/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[5],/RF/joint_trajectory_controller/joint_trajectory/points[0]/velocities[6],/RH/joint_trajectory_controller/joint_trajectory/header/stamp/nanosec,/RH/joint_trajectory_controller/joint_trajectory/header/stamp/sec,/RH/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/nanosec,/RH/joint_trajectory_controller/joint_trajectory/points[0]/time_from_start/sec,/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[0],/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[1],/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[2],/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[3],/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[4],/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[5],/RH/joint_trajectory_controller/joint_trajectory/points[0]/velocities[6]
1746088877.395554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.006950175,0.000000000
1746088877.395568,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.006950175,0.000000000,,,,,,,,,,,
1746088877.396665,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.006950175,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1746088877.445365,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250720287,0.000000000,,,,,,,,,,,
1746088877.445788,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.250720287,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1746088877.446138,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.250720287,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746088877.446206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250720287,0.000000000
1746088877.495004,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.250720287,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746088877.495538,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.250720287,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1746088877.495569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250720287,0.000000000
1746088877.495971,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250720287,0.000000000,,,,,,,,,,,
1746088877.545135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250720287,0.000000000
1746088877.545171,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250720287,0.000000000,,,,,,,,,,,
1746088877.545220,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.250720287,0.000000000,,,,,,,,,,,,,,,,,,,,,,
